Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website;;;;;;;;;;;
Hocus Pocus;1;812;11;116;4;5;0;0;0;;Our take on a classic summer ale.  A toast to weeds; rays; and summer haze.  A light; crisp ale for mowing lawns; hitting lazy fly balls; and communing with nature; Hocus Pocus is offered up as a summer sacrifice to clodless days.   Its malty sweetness finishes tart and crisp and is best apprediated with a wedge of orange.;0;2010-07-22 22:00:00+02:00;Light American Wheat Ale or Lager;Other Style;Magic Hat;5 Bartlett Bay Road;South Burlington;Vermont;United States;44.4284; -73.2131;http://www.magichat.net/;;;
Chocolate Stout;10;545;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Fort Collins Brewery;1900-B East Lincoln Avenue;Fort Collins;Colorado;United States;40.5832; -105.042;http://www.fortcollinsbrewery.com;;;;;;;;;;
India Pale Ale;100;901;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Nebraska Brewing Company;7474 Towne Center Parkway #101;Papillion;Nebraska;United States;37.244; -107.879;;;;;;;;;;;
Winterfest Lager;1000;721;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;John Harvard's Brewhouse - Wilmington;;Wilmington;Delaware;United States;39.7458; -75.5467;;;;;;;;;;;
Scottish Ale;1001;721;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;John Harvard's Brewhouse - Wilmington;;Wilmington;Delaware;United States;39.7458; -75.5467;;;;;;;;;;;
Pale Ale;1002;721;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;John Harvard's Brewhouse - Wilmington;;Wilmington;Delaware;United States;39.7458; -75.5467;;;;;;;;;;;
Light Lager;1003;721;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;John Harvard's Brewhouse - Wilmington;;Wilmington;Delaware;United States;39.7458; -75.5467;;;;;;;;;;;
Russian Imperial Stout;1004;700;3;42;9;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Iron Hill Brewery - Wilmingon;620 South Madison Street;Wilmington;Delaware;United States;39.745; -75.5561;http://www.ironhillbrewery.com/;;;;;;;;;
Irish Red Ale;1005;700;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Iron Hill Brewery - Wilmingon;620 South Madison Street;Wilmington;Delaware;United States;39.745; -75.5561;http://www.ironhillbrewery.com/;;;;;;;;;;
Iron Hill Belgian Tripel;1006;700;-1;-1;9;5;0;0;0;;Traditional Belgian-style golden ale; complex aroma and flavor of plums; spice and bananas with a refreshing balanced bitterness.;0;2010-07-22 22:00:00+02:00;;;Iron Hill Brewery - Wilmingon;620 South Madison Street;Wilmington;Delaware;United States;39.745; -75.5561;http://www.ironhillbrewery.com/;;;;;;;
